Type,Bit Error Rate,CodeRate,SNR,factor
gallager,0.24533950617283948,0.5,2,0.5
gallager,0.1646604938271605,0.5,10,0.5
gallager,0.16469135802469137,0.5,9,0.5
gallager,0.1605246913580247,0.5,11,0.5
gallager,0.16925925925925928,0.5,7,0.5
gallager,0.16175925925925924,0.5,8,0.5
gallager,0.26243827160493827,0.5,1,0.5
gallager,0.19691358024691358,0.5,4,0.5
gallager,0.1694753086419753,0.5,6,0.5
gallager,0.15530864197530864,0.5,12,0.5
gallager,0.1850925925925926,0.5,5,0.5
gallager,0.22092592592592591,0.5,3,0.5
gallager,0.153641975308642,0.5,13,0.5
gallager,0.13805555555555554,0.5,14,0.5
gallager,0.09222222222222222,0.5,17,0.5
gallager,0.040339506172839504,0.5,20,0.5
gallager,0.10808641975308643,0.5,16,0.5
gallager,0.054043209876543215,0.5,19,0.5
gallager,0.027962962962962964,0.5,21,0.5
gallager,0.0020987654320987655,0.5,22,0.5
gallager,0.0704320987654321,0.5,18,0.5
gallager,0.1244753086419753,0.5,15,0.5
gallager,0.0,0.5,24,0.5
gallager,3.08641975308642e-05,0.5,23,0.5
gallager,0.0,0.5,26,0.5
gallager,0.0,0.5,25,0.5
gallager,0.0,0.5,30,0.5
gallager,0.0,0.5,28,0.5
gallager,0.0,0.5,27,0.5
gallager,0.0,0.5,31,0.5
gallager,0.0,0.5,29,0.5
gallager,0.0,0.5,32,0.5
gallager,0.0,0.5,34,0.5
gallager,0.0,0.5,33,0.5
gallager,0.0,0.5,36,0.5
gallager,0.0,0.5,35,0.5
min-sum,0.28487654320987654,0.5,2,0.5
min-sum,0.24604938271604937,0.5,4,0.5
min-sum,0.23453703703703702,0.5,5,0.5
min-sum,0.2205246913580247,0.5,6,0.5
min-sum,0.21172839506172839,0.5,7,0.5
min-sum,0.3006172839506173,0.5,1,0.5
min-sum,0.2692283950617284,0.5,3,0.5
min-sum,0.19135802469135801,0.5,9,0.5
min-sum,0.2011111111111111,0.5,8,0.5
gallager,0.0,0.5,37,0.5
gallager,0.0,0.5,39,0.5
gallager,0.0,0.5,38,0.5
min-sum,0.18345679012345678,0.5,10,0.5
min-sum,0.17441358024691359,0.5,11,0.5
min-sum,0.16753086419753085,0.5,13,0.5
min-sum,0.17046296296296296,0.5,12,0.5
min-sum,0.16583333333333333,0.5,14,0.5
min-sum,0.16858024691358023,0.5,15,0.5
min-sum,0.16083333333333333,0.5,17,0.5
min-sum,0.15916666666666668,0.5,16,0.5
min-sum,0.16089506172839507,0.5,18,0.5
min-sum,0.1552469135802469,0.5,20,0.5
min-sum,0.1549074074074074,0.5,19,0.5
min-sum,0.1529320987654321,0.5,21,0.5
min-sum,0.15669753086419755,0.5,22,0.5
min-sum,0.1566358024691358,0.5,23,0.5
min-sum,0.15367283950617283,0.5,24,0.5
min-sum,0.1549074074074074,0.5,26,0.5
min-sum,0.15552469135802469,0.5,25,0.5
min-sum,0.15555555555555556,0.5,27,0.5
min-sum,0.15339506172839507,0.5,29,0.5
min-sum,0.15104938271604937,0.5,28,0.5
min-sum,0.15824074074074074,0.5,30,0.5
min-sum,0.1582716049382716,0.5,31,0.5
min-sum,0.15611111111111112,0.5,32,0.5
min-sum,0.15373456790123458,0.5,33,0.5
min-sum,0.16348765432098766,0.5,34,0.5
min-sum,0.15459876543209877,0.5,35,0.5
min-sum,0.1519753086419753,0.5,36,0.5
min-sum,0.15564814814814815,0.5,37,0.5
min-sum,0.15787037037037036,0.5,38,0.5
min-sum,0.1520679012345679,0.5,39,0.5
attenuated,0.27225308641975304,0.5,1,0.5
attenuated,0.25570987654320987,0.5,2,0.5
attenuated,0.23425925925925928,0.5,3,0.5
attenuated,0.2065740740740741,0.5,4,0.5
attenuated,0.1925,0.5,5,0.5
attenuated,0.1717283950617284,0.5,6,0.5
attenuated,0.14175925925925925,0.5,8,0.5
attenuated,0.15820987654320987,0.5,7,0.5
attenuated,0.11617283950617284,0.5,10,0.5
attenuated,0.13092592592592592,0.5,9,0.5
attenuated,0.10320987654320987,0.5,11,0.5
attenuated,0.0978395061728395,0.5,12,0.5
attenuated,0.08780864197530865,0.5,13,0.5
attenuated,0.08361111111111111,0.5,14,0.5
attenuated,0.07820987654320988,0.5,15,0.5
attenuated,0.07222222222222222,0.5,16,0.5
attenuated,0.07336419753086419,0.5,17,0.5
attenuated,0.07151234567901235,0.5,18,0.5
attenuated,0.07157407407407408,0.5,19,0.5
attenuated,0.07290123456790124,0.5,20,0.5
attenuated,0.06719135802469135,0.5,21,0.5
attenuated,0.06978395061728394,0.5,22,0.5
attenuated,0.08546296296296296,0.5,24,0.5
attenuated,0.07379629629629629,0.5,23,0.5
attenuated,0.0692283950617284,0.5,25,0.5
attenuated,0.0858641975308642,0.5,26,0.5
attenuated,0.07611111111111112,0.5,27,0.5
attenuated,0.07765432098765432,0.5,28,0.5
attenuated,0.07669753086419753,0.5,29,0.5
attenuated,0.08339506172839506,0.5,30,0.5
attenuated,0.07648148148148148,0.5,35,0.5
attenuated,0.08521604938271604,0.5,32,0.5
attenuated,0.07820987654320988,0.5,33,0.5
attenuated,0.08046296296296296,0.5,39,0.5
attenuated,0.08046296296296296,0.5,37,0.5
attenuated,0.08348765432098766,0.5,34,0.5
attenuated,0.08617283950617284,0.5,31,0.5
attenuated,0.07611111111111112,0.5,36,0.5
attenuated,0.07611111111111112,0.5,38,0.5
