Type,Bit Error Rate,CodeRate,SNR,factor
attenuated,0.2684490740740741,0.6666666666666666,1,0.6
attenuated,0.26273148148148145,0.6666666666666666,1,0.2
attenuated,0.2663657407407407,0.6666666666666666,1,0.5
attenuated,0.27895833333333336,0.6666666666666666,1,1
attenuated,0.26372685185185185,0.6666666666666666,1,0.3
attenuated,0.26412037037037034,0.6666666666666666,1,0.4
attenuated,0.2733564814814815,0.6666666666666666,1,0.8
attenuated,0.2707175925925926,0.6666666666666666,1,0.7
attenuated,0.2634490740740741,0.6666666666666666,1,0.1
attenuated,0.2753009259259259,0.6666666666666666,1,0.9
attenuated,0.23958333333333334,0.6666666666666666,2,0.3
attenuated,0.24569444444444444,0.6666666666666666,2,0.6
attenuated,0.25372685185185184,0.6666666666666666,2,0.9
attenuated,0.23810185185185184,0.6666666666666666,2,0.1
attenuated,0.23831018518518518,0.6666666666666666,2,0.2
attenuated,0.2438425925925926,0.6666666666666666,2,0.5
attenuated,0.24187499999999998,0.6666666666666666,2,0.4
attenuated,0.2512037037037037,0.6666666666666666,2,0.8
attenuated,0.24782407407407409,0.6666666666666666,2,0.7
attenuated,0.25703703703703706,0.6666666666666666,2,1
attenuated,0.22930555555555557,0.6666666666666666,3,0.9
attenuated,0.21780092592592593,0.6666666666666666,3,0.6
attenuated,0.21162037037037038,0.6666666666666666,3,0.1
attenuated,0.2145138888888889,0.6666666666666666,3,0.4
attenuated,0.2170601851851852,0.6666666666666666,3,0.5
attenuated,0.21335648148148148,0.6666666666666666,3,0.3
attenuated,0.21219907407407407,0.6666666666666666,3,0.2
attenuated,0.22555555555555554,0.6666666666666666,3,0.8
attenuated,0.2222685185185185,0.6666666666666666,3,0.7
attenuated,0.2320138888888889,0.6666666666666666,3,1
attenuated,0.20944444444444446,0.6666666666666666,4,0.9
attenuated,0.18627314814814813,0.6666666666666666,4,0.1
attenuated,0.19199074074074074,0.6666666666666666,4,0.4
attenuated,0.18787037037037035,0.6666666666666666,4,0.2
attenuated,0.19462962962962962,0.6666666666666666,4,0.5
attenuated,0.20537037037037037,0.6666666666666666,4,0.8
attenuated,0.2121759259259259,0.6666666666666666,4,1
attenuated,0.20113425925925926,0.6666666666666666,4,0.7
attenuated,0.18981481481481483,0.6666666666666666,4,0.3
attenuated,0.19851851851851854,0.6666666666666666,4,0.6
attenuated,0.19238425925925925,0.6666666666666666,5,0.8
attenuated,0.20041666666666666,0.6666666666666666,5,1
attenuated,0.17076388888888888,0.6666666666666666,5,0.1
attenuated,0.1824074074074074,0.6666666666666666,5,0.6
attenuated,0.18655092592592593,0.6666666666666666,5,0.7
attenuated,0.1975462962962963,0.6666666666666666,5,0.9
attenuated,0.17921296296296296,0.6666666666666666,5,0.5
attenuated,0.17266203703703706,0.6666666666666666,5,0.2
attenuated,0.17601851851851855,0.6666666666666666,5,0.4
attenuated,0.17375000000000002,0.6666666666666666,5,0.3
attenuated,0.1554861111111111,0.6666666666666666,6,0.4
attenuated,0.15891203703703705,0.6666666666666666,6,0.5
attenuated,0.14840277777777777,0.6666666666666666,6,0.2
attenuated,0.17097222222222222,0.6666666666666666,6,0.8
attenuated,0.15189814814814817,0.6666666666666666,6,0.3
attenuated,0.17916666666666667,0.6666666666666666,6,0.9
attenuated,0.16335648148148146,0.6666666666666666,6,0.6
attenuated,0.1667824074074074,0.6666666666666666,6,0.7
attenuated,0.1451851851851852,0.6666666666666666,6,0.1
attenuated,0.18210648148148148,0.6666666666666666,6,1
attenuated,0.15,0.6666666666666666,7,0.7
attenuated,0.13444444444444445,0.6666666666666666,7,0.4
attenuated,0.14456018518518518,0.6666666666666666,7,0.6
attenuated,0.1589814814814815,0.6666666666666666,7,0.9
attenuated,0.12314814814814816,0.6666666666666666,7,0.1
attenuated,0.1300462962962963,0.6666666666666666,7,0.3
attenuated,0.15488425925925925,0.6666666666666666,7,0.8
attenuated,0.12625,0.6666666666666666,7,0.2
attenuated,0.16703703703703704,0.6666666666666666,7,1
attenuated,0.1398148148148148,0.6666666666666666,7,0.5
attenuated,0.11787037037037038,0.6666666666666666,8,0.4
attenuated,0.12877314814814816,0.6666666666666666,8,0.6
attenuated,0.12333333333333334,0.6666666666666666,8,0.5
attenuated,0.10768518518518519,0.6666666666666666,8,0.2
attenuated,0.1354861111111111,0.6666666666666666,8,0.7
attenuated,0.14087962962962963,0.6666666666666666,8,0.8
attenuated,0.10243055555555555,0.6666666666666666,8,0.1
attenuated,0.14768518518518517,0.6666666666666666,8,0.9
attenuated,0.15638888888888888,0.6666666666666666,8,1
attenuated,0.1125462962962963,0.6666666666666666,8,0.3
