Type,Bit Error Rate,CodeRate,SNR
gallager,0.260956790123457,0.75,1
min-sum,0.268796296296296,0.75,1
attenuated,0.262695473251029,0.75,1
default,0.260946502057613,0.75,1
gallager,0.236430041152263,0.75,2
min-sum,0.246934156378601,0.75,2
attenuated,0.238786008230453,0.75,2
default,0.236378600823045,0.75,2
offset,0.2365329218107,0.75,2
gallager,0.214547325102881,0.75,3
attenuated,0.217541152263374,0.75,3
min-sum,0.226666666666667,0.75,3
default,0.214567901234568,0.75,3
offset,0.215072016460905,0.75,3
gallager,0.187757201646091,0.75,4
min-sum,0.202139917695473,0.75,4
attenuated,0.191152263374486,0.75,4
default,0.187685185185185,0.75,4
gallager,0.163590534979424,0.75,5
min-sum,0.182489711934156,0.75,5
attenuated,0.168168724279835,0.75,5
default,0.163374485596708,0.75,5
gallager,0.139927983539095,0.75,6
attenuated,0.145144032921811,0.75,6
min-sum,0.159187242798354,0.75,6
default,0.138950617283951,0.75,6
gallager,0.120205761316872,0.75,7
min-sum,0.142047325102881,0.75,7
attenuated,0.125586419753086,0.75,7
default,0.116800411522634,0.75,7
gallager,0.102890946502058,0.75,8
attenuated,0.107479423868313,0.75,8
min-sum,0.125864197530864,0.75,8
default,0.0948971193415638,0.75,8
offset,0.109115226337449,0.75,8
