Type,Bit Error Rate,CodeRate,SNR
gallager,0.261863425925926,0.666666666666667,1
min-sum,0.278125,0.666666666666667,1
attenuated,0.266030092592593,0.666666666666667,1
default,0.261712962962963,0.666666666666667,1
offset,0.261956018518518,0.666666666666667,1
gallager,0.236180555555556,0.666666666666667,2
min-sum,0.255219907407407,0.666666666666667,2
attenuated,0.241215277777778,0.666666666666667,2
default,0.236122685185185,0.666666666666667,2
offset,0.236712962962963,0.666666666666667,2
gallager,0.2121875,0.666666666666667,3
min-sum,0.23431712962963,0.666666666666667,3
attenuated,0.218541666666667,0.666666666666667,3
default,0.211701388888889,0.666666666666667,3
offset,0.213460648148148,0.666666666666667,3
gallager,0.188055555555556,0.666666666666667,4
min-sum,0.213888888888889,0.666666666666667,4
attenuated,0.195763888888889,0.666666666666667,4
default,0.186261574074074,0.666666666666667,4
offset,0.191712962962963,0.666666666666667,4
gallager,0.169166666666667,0.666666666666667,5
min-sum,0.197569444444444,0.666666666666667,5
attenuated,0.177777777777778,0.666666666666667,5
default,0.164953703703704,0.666666666666667,5
offset,0.174074074074074,0.666666666666667,5
gallager,0.149710648148148,0.666666666666667,6
attenuated,0.158206018518519,0.666666666666667,6
min-sum,0.181006944444444,0.666666666666667,6
default,0.139560185185185,0.666666666666667,6
offset,0.156331018518519,0.666666666666667,6
gallager,0.132696759259259,0.666666666666667,7
min-sum,0.168217592592593,0.666666666666667,7
attenuated,0.139351851851852,0.666666666666667,7
default,0.1109375,0.666666666666667,7
gallager,0.123090277777778,0.666666666666667,8
min-sum,0.156284722222222,0.666666666666667,8
attenuated,0.12400462962963,0.666666666666667,8
default,0.0781481481481482,0.666666666666667,8
offset,0.130960648148148,0.666666666666667,8
