Type,Bit Error Rate,CodeRate,SNR
gallager,0.261592592592593,0.833333333333333,1
default,0.261592592592593,0.833333333333333,1
min-sum,0.265111111111111,0.833333333333333,1
attenuated,0.262592592592593,0.833333333333333,1
offset,0.261592592592593,0.833333333333333,1
gallager,0.239138888888889,0.833333333333333,2
default,0.239138888888889,0.833333333333333,2
attenuated,0.240037037037037,0.833333333333333,2
min-sum,0.243138888888889,0.833333333333333,2
gallager,0.212398148148148,0.833333333333333,3
default,0.212398148148148,0.833333333333333,3
attenuated,0.214416666666667,0.833333333333333,3
min-sum,0.2185,0.833333333333333,3
gallager,0.185935185185185,0.833333333333333,4
default,0.185935185185185,0.833333333333333,4
min-sum,0.193444444444444,0.833333333333333,4
attenuated,0.187842592592593,0.833333333333333,4
gallager,0.163462962962963,0.833333333333333,5
default,0.163462962962963,0.833333333333333,5
min-sum,0.171222222222222,0.833333333333333,5
attenuated,0.165768518518519,0.833333333333333,5
gallager,0.141074074074074,0.833333333333333,6
default,0.141074074074074,0.833333333333333,6
min-sum,0.149833333333333,0.833333333333333,6
attenuated,0.143759259259259,0.833333333333333,6
gallager,0.11912962962963,0.833333333333333,7
default,0.11912962962963,0.833333333333333,7
attenuated,0.121453703703704,0.833333333333333,7
min-sum,0.129296296296296,0.833333333333333,7
gallager,0.0981944444444444,0.833333333333333,8
default,0.0981944444444444,0.833333333333333,8
min-sum,0.108842592592593,0.833333333333333,8
attenuated,0.100518518518519,0.833333333333333,8
