Type,Bit Error Rate,CodeRate,SNR,factor
attenuated,0.048179012345679,0.5,14,0.3
attenuated,0.0105555555555556,0.5,15,0.1
attenuated,0.144475308641975,0.5,15,0.9
attenuated,0.0782098765432099,0.5,15,0.5
attenuated,0.127345679012346,0.5,15,0.8
attenuated,0.023641975308642,0.5,15,0.2
attenuated,0.0435802469135802,0.5,15,0.3
attenuated,0.114938271604938,0.5,15,0.7
attenuated,0.0941666666666667,0.5,15,0.6
attenuated,0.16858024691358,0.5,15,1
attenuated,0.0602469135802469,0.5,15,0.4
attenuated,0.123888888888889,0.5,16,0.8
attenuated,0.112067901234568,0.5,16,0.7
attenuated,0.0893518518518519,0.5,16,0.6
attenuated,0.0182098765432099,0.5,16,0.2
attenuated,0.00570987654320988,0.5,16,0.1
attenuated,0.141388888888889,0.5,16,0.9
attenuated,0.0372222222222222,0.5,16,0.3
attenuated,0.159166666666667,0.5,16,1
attenuated,0.0557407407407407,0.5,16,0.4
attenuated,0.0722222222222222,0.5,16,0.5
attenuated,0.12358024691358,0.5,17,0.8
attenuated,0.160833333333333,0.5,17,1
attenuated,0.107345679012346,0.5,17,0.7
attenuated,0.0733641975308642,0.5,17,0.5
attenuated,0.0138271604938272,0.5,17,0.2
attenuated,0.0558333333333333,0.5,17,0.4
attenuated,0.00305555555555556,0.5,17,0.1
attenuated,0.088641975308642,0.5,17,0.6
attenuated,0.0372530864197531,0.5,17,0.3
attenuated,0.137993827160494,0.5,17,0.9
attenuated,0.106358024691358,0.5,18,0.7
attenuated,0.00114197530864198,0.5,18,0.1
attenuated,0.0867592592592593,0.5,18,0.6
attenuated,0.160895061728395,0.5,18,1
attenuated,0.0715123456790124,0.5,18,0.5
attenuated,0.00969135802469136,0.5,18,0.2
attenuated,0.123395061728395,0.5,18,0.8
attenuated,0.141512345679012,0.5,18,0.9
attenuated,0.0351234567901235,0.5,18,0.3
attenuated,0.0530246913580247,0.5,18,0.4
attenuated,0.0715740740740741,0.5,19,0.5
attenuated,0.0539506172839506,0.5,19,0.4
attenuated,0.120401234567901,0.5,19,0.8
attenuated,0.086358024691358,0.5,19,0.6
attenuated,0.100061728395062,0.5,19,0.7
attenuated,0.000432098765432099,0.5,19,0.1
attenuated,0.00904320987654321,0.5,19,0.2
attenuated,0.154907407407407,0.5,19,1
attenuated,0.0342283950617284,0.5,19,0.3
attenuated,0.144351851851852,0.5,19,0.9
attenuated,0.0729012345679012,0.5,20,0.5
attenuated,0.000185185185185185,0.5,20,0.1
attenuated,0.00679012345679012,0.5,20,0.2
attenuated,0.0512962962962963,0.5,20,0.4
attenuated,0.102222222222222,0.5,20,0.7
attenuated,0.155246913580247,0.5,20,1
attenuated,0.0331172839506173,0.5,20,0.3
attenuated,0.0850617283950617,0.5,20,0.6
attenuated,0.11929012345679,0.5,20,0.8
attenuated,0.14179012345679,0.5,20,0.9
attenuated,0.0816358024691358,0.5,21,0.6
attenuated,0.102006172839506,0.5,21,0.7
attenuated,0.117253086419753,0.5,21,0.8
attenuated,0.0000833,0.5,21,0.1
attenuated,0.0671913580246914,0.5,21,0.5
attenuated,0.138734567901235,0.5,21,0.9
attenuated,0.0520987654320988,0.5,21,0.4
attenuated,0.152932098765432,0.5,21,1
attenuated,0.0346296296296296,0.5,21,0.3
attenuated,0.00506172839506173,0.5,21,0.2
attenuated,0.0697839506172839,0.5,22,0.5
attenuated,0.102962962962963,0.5,22,0.7
attenuated,0.156697530864198,0.5,22,1
attenuated,0.118703703703704,0.5,22,0.8
attenuated,0.0798456790123457,0.5,22,0.6
attenuated,0.0321296296296296,0.5,22,0.3
attenuated,0.141944444444444,0.5,22,0.9
attenuated,0.0000247,0.5,22,0.1
attenuated,0.00419753086419753,0.5,22,0.2
attenuated,0.0521913580246914,0.5,22,0.4
attenuated,0.0517901234567901,0.5,23,0.4
attenuated,0.0869753086419753,0.5,23,0.6
attenuated,0.00280864197530864,0.5,23,0.2
attenuated,0.100246913580247,0.5,23,0.7
attenuated,0.032962962962963,0.5,23,0.3
attenuated,0.116635802469136,0.5,23,0.8
attenuated,0.0737962962962963,0.5,23,0.5
attenuated,0,0.5,23,0.1
attenuated,0.156635802469136,0.5,23,1
attenuated,0.133950617283951,0.5,23,0.9
attenuated,0.121728395061728,0.5,24,0.8
attenuated,0.085462962962963,0.5,24,0.5
attenuated,0.0330864197530864,0.5,24,0.3
attenuated,0.00188271604938272,0.5,24,0.2
attenuated,0.0587962962962963,0.5,24,0.4
attenuated,0.153672839506173,0.5,24,1
attenuated,0,0.5,24,0.1
attenuated,0.0997530864197531,0.5,24,0.7
attenuated,0.136512345679012,0.5,24,0.9
attenuated,0.0942592592592593,0.5,24,0.6
attenuated,0.0325308641975309,0.5,25,0.3
attenuated,0.00117283950617284,0.5,25,0.2
attenuated,0.137067901234568,0.5,25,0.9
attenuated,0,0.5,25,0.1
attenuated,0.0825308641975309,0.5,25,0.6
attenuated,0.155524691358025,0.5,25,1
attenuated,0.0533950617283951,0.5,25,0.4
attenuated,0.0692283950617284,0.5,25,0.5
attenuated,0.101358024691358,0.5,25,0.7
attenuated,0.11858024691358,0.5,25,0.8
attenuated,0.0545061728395062,0.5,26,0.4
attenuated,0.0360493827160494,0.5,26,0.3
attenuated,0.0892901234567901,0.5,26,0.6
attenuated,0.136172839506173,0.5,26,0.9
attenuated,0.000648148148148148,0.5,26,0.2
attenuated,0.0858641975308642,0.5,26,0.5
attenuated,0.154907407407407,0.5,26,1
attenuated,0,0.5,26,0.1
attenuated,0.117283950617284,0.5,26,0.8
attenuated,0.102654320987654,0.5,26,0.7
attenuated,0.121975308641975,0.5,27,0.8
attenuated,0.054783950617284,0.5,27,0.4
attenuated,0.100462962962963,0.5,27,0.7
attenuated,0,0.5,27,0.1
attenuated,0.134197530864198,0.5,27,0.9
attenuated,0.000632716,0.5,27,0.2
attenuated,0.0359259259259259,0.5,27,0.3
attenuated,0.0761111111111111,0.5,27,0.5
attenuated,0.0890123456790123,0.5,27,0.6
attenuated,0.155555555555556,0.5,27,1
attenuated,0.151049382716049,0.5,28,1
attenuated,0.0372530864197531,0.5,28,0.3
attenuated,0.091141975308642,0.5,28,0.6
attenuated,0.0776543209876543,0.5,28,0.5
attenuated,0.00042284,0.5,28,0.2
attenuated,0.136049382716049,0.5,28,0.9
attenuated,0.104259259259259,0.5,28,0.7
attenuated,0.0591666666666667,0.5,28,0.4
attenuated,0,0.5,28,0.1
attenuated,0.116635802469136,0.5,28,0.8
attenuated,0.000283951,0.5,29,0.2
attenuated,0.000231481,0.5,30,0.2
attenuated,0.000231481,0.5,31,0.2
attenuated,0.0002222222,0.5,32,0.2
attenuated,0.035046296,0.5,29,0.3
attenuated,0.034756173,0.5,30,0.3
attenuated,0.034820988,0.5,31,0.3
attenuated,0.035839506,0.5,32,0.3
attenuated,0.140246913580247,0.5,29,0.9
attenuated,0.118858024691358,0.5,29,0.8
attenuated,0.0879320987654321,0.5,29,0.6
attenuated,0.0582716049382716,0.5,29,0.4
attenuated,0.0766975308641975,0.5,29,0.5
attenuated,0.100987654320988,0.5,29,0.7
attenuated,0.153395061728395,0.5,29,1
attenuated,0.0858950617283951,0.5,30,0.6
attenuated,0.0998765432098766,0.5,30,0.7
attenuated,0.0833950617283951,0.5,30,0.5
attenuated,0.143672839506173,0.5,30,0.9
attenuated,0.0563888888888889,0.5,30,0.4
attenuated,0.158240740740741,0.5,30,1
attenuated,0.119228395061728,0.5,30,0.8
attenuated,0.0990432098765432,0.5,31,0.7
attenuated,0.0861728395061728,0.5,31,0.5
attenuated,0.138487654320988,0.5,31,0.9
attenuated,0.091141975308642,0.5,31,0.6
attenuated,0.158271604938272,0.5,31,1
attenuated,0.0583333333333333,0.5,31,0.4
attenuated,0.115401234567901,0.5,31,0.8
attenuated,0.085216049382716,0.5,32,0.5
attenuated,0.0664197530864198,0.5,32,0.4
attenuated,0.140462962962963,0.5,32,0.9
attenuated,0.114413580246914,0.5,32,0.8
attenuated,0.156111111111111,0.5,32,1
attenuated,0.103734567901235,0.5,32,0.7
attenuated,0.090216049382716,0.5,32,0.6
attenuated,0.0963271604938272,0.5,33,0.6
attenuated,0.0542283950617284,0.5,33,0.4
attenuated,0.137191358024691,0.5,33,0.9
attenuated,0.121944444444444,0.5,33,0.8
attenuated,0.0782098765432099,0.5,33,0.5
attenuated,0.0361111111111111,0.5,33,0.3
attenuated,0.0990432098765432,0.5,33,0.7
attenuated,0.153734567901235,0.5,33,1
attenuated,0.0834876543209877,0.5,34,0.5
attenuated,0.135987654320988,0.5,34,0.9
attenuated,0.120123456790123,0.5,34,0.8
attenuated,0.163487654320988,0.5,34,1
attenuated,0.0346296296296296,0.5,34,0.3
attenuated,0.062037037037037,0.5,34,0.4
attenuated,0.0925925925925926,0.5,34,0.6
attenuated,0.0975925925925926,0.5,34,0.7
attenuated,0.117716049382716,0.5,35,0.8
attenuated,0.0899691358024691,0.5,35,0.6
attenuated,0.154598765432099,0.5,35,1
attenuated,0.102314814814815,0.5,35,0.7
attenuated,0.0764814814814815,0.5,35,0.5
attenuated,0.0560185185185185,0.5,35,0.4
attenuated,0.0335802469135802,0.5,35,0.3
attenuated,0.141851851851852,0.5,35,0.9
attenuated,0.0941666666666667,0.5,36,0.6
attenuated,0.119876543209877,0.5,36,0.8
attenuated,0.0955555555555556,0.5,36,0.7
attenuated,0.135308641975309,0.5,36,0.9
attenuated,0.059537037037037,0.5,36,0.4
attenuated,0.0351851851851852,0.5,36,0.3
attenuated,0.0761111111111111,0.5,36,0.5
attenuated,0.151975308641975,0.5,36,1
attenuated,0.0580555555555556,0.5,37,0.4
attenuated,0.0919753086419753,0.5,37,0.6
attenuated,0.133672839506173,0.5,37,0.9
attenuated,0.080462962962963,0.5,37,0.5
attenuated,0.155648148148148,0.5,37,1
attenuated,0.123117283950617,0.5,37,0.8
attenuated,0.035,0.5,37,0.3
attenuated,0.100740740740741,0.5,37,0.7
attenuated,0.0975308641975309,0.5,38,0.7
attenuated,0.0761111111111111,0.5,38,0.5
attenuated,0.0865432098765432,0.5,38,0.6
attenuated,0.15787037037037,0.5,38,1
attenuated,0.0361111111111111,0.5,38,0.3
attenuated,0.136604938271605,0.5,38,0.9
attenuated,0.0552469135802469,0.5,38,0.4
attenuated,0.114938271604938,0.5,38,0.8
attenuated,0.0361111111111111,0.5,39,0.3
attenuated,0.0875,0.5,39,0.6
attenuated,0.0995061728395062,0.5,39,0.7
attenuated,0.0594135802469136,0.5,39,0.4
attenuated,0.137314814814815,0.5,39,0.9
attenuated,0.118765432098765,0.5,39,0.8
attenuated,0.152067901234568,0.5,39,1
attenuated,0.080462962962963,0.5,39,0.5
attenuated,0.0333024691358025,0.5,40,0.3
attenuated,0.159783950617284,0.5,40,1
attenuated,0.0822222222222222,0.5,40,0.5
attenuated,0.0552160493827161,0.5,40,0.4
attenuated,0.136018518518519,0.5,40,0.9
attenuated,0.0939506172839506,0.5,40,0.6
attenuated,0.0993827160493827,0.5,40,0.7
attenuated,0.119197530864198,0.5,40,0.8
